trip_id,start_lat,start_lon,end_lat,end_lon,n_points,path_over_straight,if_score_raw
-6683155579225977143,51.0887817,71.4174617,51.0894172,71.4149129,4421,6257.810975081543,-0.21636542977319062
4017432169968279923,51.096299,71.4067751,51.096323,71.406792,3231,358495.43135092163,-0.21107083384274894
7093048863171104002,51.0847598,71.4009182,51.086516,71.4148237,2724,1851.9228916946008,-0.20348872134473595
-4215783343388927583,51.0958018,71.423491,51.0896607,71.4111982,2908,1494.6118325845812,-0.20281138234649387
3183025798458650680,51.0876622,71.4119614,51.0869145,71.410638,2085,11726.361004420178,-0.19936077126534968
-5595918467913173506,51.086245,71.4331737,51.0843748,71.4066514,2430,711.1155171783516,-0.19894974890661643
8539328646841049184,51.0846644,71.4365756,51.0897381,71.4266217,2427,1281.0502154371732,-0.19562271207095805
7330944877497336823,51.0851217,71.41727,51.0849309,71.4205718,2478,3757.673566955531,-0.18881810685361233
-4159094440281962734,51.0953373,71.4100188,51.095366,71.410061,5909,158338.6446386082,-0.18457250436057826
3350606637310821181,51.085814,71.4192472,51.0928512,71.4148185,1781,1325.0997555426925,-0.1793274491575224
